plan_id,title,calories,tags,ingredients,instructions
1,shrimp + sweet potato + spinach & cauliflower,399,"Low Carb, Low Fat","shrimp, sweet potato, spinach, cauliflower, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the spinach and cauliflower. Combine all and season with olive oil, salt, and pepper."
2,shrimp + quinoa + bell peppers & zucchini,462,"Mediterranean, Plant-Based","shrimp, quinoa, bell peppers, zucchini, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the bell peppers and zucchini. Combine all and season with olive oil, salt, and pepper."
3,eggs + brown rice + zucchini & broccoli,442,"Low Carb, Low Fat","eggs, brown rice, zucchini, broccoli, olive oil, salt, pepper","Cook the eggs and brown rice separately. Sauté the zucchini and broccoli. Combine all and season with olive oil, salt, and pepper."
4,turkey + brown rice + spinach & kale,317,"Mediterranean, Low Carb","turkey, brown rice, spinach, kale, olive oil, salt, pepper","Cook the turkey and brown rice separately. Sauté the spinach and kale. Combine all and season with olive oil, salt, and pepper."
5,chicken breast + brown rice + zucchini & bell peppers,534,"Mediterranean, High Protein","chicken breast, brown rice, zucchini, bell peppers, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the zucchini and bell peppers. Combine all and season with olive oil, salt, and pepper."
6,shrimp + quinoa + cauliflower & broccoli,333,"Low Carb, Mediterranean","shrimp, quinoa, cauliflower, broccoli, olive oil, salt, pepper","Cook the shrimp and quinoa separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
7,salmon + whole wheat pasta + broccoli & spinach,304,"High Protein, Mediterranean","salmon, whole wheat pasta, broccoli, spinach, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
8,shrimp + whole wheat pasta + cauliflower & zucchini,478,"Mediterranean, Plant-Based","shrimp, whole wheat pasta, cauliflower, zucchini, olive oil, salt, pepper","Cook the shrimp and whole wheat pasta separately. Sauté the cauliflower and zucchini. Combine all and season with olive oil, salt, and pepper."
9,tofu + quinoa + broccoli & spinach,535,"High Protein, Low Fat","tofu, quinoa, broccoli, spinach, olive oil, salt, pepper","Cook the tofu and quinoa separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
10,chicken breast + oats + broccoli & kale,376,"Low Fat, High Protein","chicken breast, oats, broccoli, kale, olive oil, salt, pepper","Cook the chicken breast and oats separately. Sauté the broccoli and kale. Combine all and season with olive oil, salt, and pepper."
11,salmon + barley + carrots & spinach,341,"Low Carb, Mediterranean","salmon, barley, carrots, spinach, olive oil, salt, pepper","Cook the salmon and barley separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
12,chicken breast + sweet potato + spinach & zucchini,506,"Low Carb, High Protein","chicken breast, sweet potato, spinach, zucchini, olive oil, salt, pepper","Cook the chicken breast and sweet potato separately. Sauté the spinach and zucchini. Combine all and season with olive oil, salt, and pepper."
13,shrimp + sweet potato + cauliflower & broccoli,538,"High Protein, Low Fat","shrimp, sweet potato, cauliflower, broccoli, olive oil, salt, pepper","Cook the shrimp and sweet potato separately. Sauté the cauliflower and broccoli. Combine all and season with olive oil, salt, and pepper."
14,chicken breast + brown rice + carrots & spinach,515,"Low Fat, Low Carb","chicken breast, brown rice, carrots, spinach, olive oil, salt, pepper","Cook the chicken breast and brown rice separately. Sauté the carrots and spinach. Combine all and season with olive oil, salt, and pepper."
15,salmon + whole wheat pasta + broccoli & spinach,370,"Mediterranean, Plant-Based","salmon, whole wheat pasta, broccoli, spinach, olive oil, salt, pepper","Cook the salmon and whole wheat pasta separately. Sauté the broccoli and spinach. Combine all and season with olive oil, salt, and pepper."
16,lentils + barley + spinach & bell peppers,338,"Low Fat, Low Carb","lentils, barley, spinach, bell peppers, olive oil, salt, pepper","Cook the lentils and barley separately. Sauté the spinach and bell peppers. Combine all and season with olive oil, salt, and pepper."
